Timestep,Load,LFS,LFW,ResidualLoad
6996,11251,0.3027604630454141,0.026781202627589692,10178
6997,11080,0.42712971208073613,0.02223345123799899,9597
6998,10823,0.47521519738794893,0.0202122283981809,9182
6999,10602,0.4431582071831404,0.021222839818089943,9067
7e3,10506,0.3006826951617691,0.023749368367862556,9446
7001,10293,0.15316117542297417,0.027286508337544216,9723
7002,10565,0.054021964974769965,0.04194037392622536,10300
7003,10792,0.004749183734045711,0.06771096513390601,10642
7004,11104,0,0.09701869631126832,10912
7005,10713,0,0.09146033350176858,10532
7006,10087,0,0.09247094492167761,9904
7007,9763,0,0.10106114199090449,9563
7008,9567,0,0.11167256189994947,9346
7009,9158,0,0.10156644770085901,8957
7010,8562,0,0.08741788782213239,8389
7011,8186,0,0.08792319353208691,8012
7012,7868,0,0.06771096513390601,7734
7013,7888,0,0.07124810510358767,7747
7014,7984,0,0.0833754421424962,7819
